packet_count,byte_count,duration,label
38685,1786901506,0,0
16669,1100154,0,0
550855,25435751462,5,0
229618,15154836,5,0
1108830,51168398420,10,0
458037,30230670,10,0
1668150,76956838356,15,0
687761,45392598,15,0
2222736,102539644192,20,0
914726,60372492,20,0
2771314,127851589588,25,0
1139481,75206610,25,0
3335651,153865019558,30,0
1371304,90507096,30,0
3882942,179106749140,35,0
1596289,105356202,35,0
4440063,204785137438,40,0
1825109,120458478,40,0
5006063,230888075430,45,0
2057493,135796086,45,0
5589745,257895191130,50,0
2287922,151004556,50,0
6153237,283903383962,55,0
2518489,166222122,55,0
6637742,306340813372,60,0
2712288,179012928,60,0
6637742,306340813372,65,0
2712288,179012928,65,0
6637742,306340813372,70,0
2712288,179012928,70,0
3,1770,4,0
34451,52089912,3,0
10,4804,9,0
79193,119736876,8,0
15,7754,14,0
123904,187339908,13,0
20,10704,19,0
168608,254932356,18,0
25,13654,24,0
213325,322544460,23,0
30,16604,29,0
258028,390135396,28,0
35,19554,34,0
302700,457679460,33,0
42,23136,39,0
348640,527139270,38,0
48,26128,44,0
393423,594849696,43,0
53,29078,49,0
438231,662599392,48,0
58,32028,54,0
483141,730503312,53,0
63,34978,59,0
528068,798432936,58,0
64,35568,64,0
534966,808862712,63,0
64,35568,69,0
534966,808862712,68,0
64,35568,74,0
534966,808862712,73,0
