packet_count,byte_count,duration,label
38685,1786901506,0,0
16669,1100154,0,0
550855,25435751462,5,0
229618,15154836,5,0
1108830,51168398420,10,0
458037,30230670,10,0
1668150,76956838356,15,0
687761,45392598,15,0
2222736,102539644192,20,0
914726,60372492,20,0
2771314,127851589588,25,0
1139481,75206610,25,0
3335651,153865019558,30,0
1371304,90507096,30,0
3882942,179106749140,35,0
1596289,105356202,35,0
4440063,204785137438,40,0
1825109,120458478,40,0
5006063,230888075430,45,0
2057493,135796086,45,0
5589745,257895191130,50,0
2287922,151004556,50,0
6153237,283903383962,55,0
2518489,166222122,55,0
6637742,306340813372,60,0
2712288,179012928,60,0
6637742,306340813372,65,0
2712288,179012928,65,0
6637742,306340813372,70,0
2712288,179012928,70,0
3,1770,4,0
34451,52089912,3,0
10,4804,9,0
79193,119736876,8,0
15,7754,14,0
123904,187339908,13,0
20,10704,19,0
168608,254932356,18,0
25,13654,24,0
213325,322544460,23,0
30,16604,29,0
258028,390135396,28,0
35,19554,34,0
302700,457679460,33,0
42,23136,39,0
348640,527139270,38,0
48,26128,44,0
393423,594849696,43,0
53,29078,49,0
438231,662599392,48,0
58,32028,54,0
483141,730503312,53,0
63,34978,59,0
528068,798432936,58,0
64,35568,64,0
534966,808862712,63,0
64,35568,69,0
534966,808862712,68,0
64,35568,74,0
534966,808862712,73,0
169746,9166284,0,1
121569,6564726,0,1
899536,48574932,5,1
851360,45973428,0,1
1640469,88585314,10,1
1592293,85983810,0,1
2384293,128751810,15,1
2336117,126150306,0,1
3040518,164187960,20,1
2992341,161586402,3,1
3766717,203402706,25,1
3718540,200801148,8,1
4499016,242946852,30,1
4450839,240345294,13,1
5263219,284213802,35,1
5215042,281612244,18,1
5985035,323191866,40,1
5936858,320590308,23,1
6738952,363903384,45,1
6690775,361301826,28,1
7493923,404671806,50,1
7445746,402070248,33,1
8249860,445492404,55,1
8201684,442890900,38,1
9011246,486607248,60,1
8963069,484005690,43,1
9744510,526203504,65,1
9696334,523602000,48,1
10513034,567703800,70,1
10464857,565102242,53,1
11264469,608281278,75,1
11216293,605679774,58,1
11931727,644313210,80,1
11883550,641711652,63,1
12693237,685434750,85,1
12645060,682833192,68,1
13452471,726433386,90,1
13404294,723831828,73,1
14215284,767625288,95,1
14167107,765023730,78,1
14985734,809229576,100,1
14937557,806628018,83,1
15756543,850853262,105,1
15708367,848251758,88,1
16427032,887059656,110,1
16378855,884458098,94,1
17181108,927779760,115,1
17132932,925178256,99,1
17954339,969534234,120,1
17906163,966932730,104,1
18674723,1008434970,125,1
18626547,1005833466,109,1
19412680,1048284648,130,1
19364504,1045683144,114,1
20169890,1089173988,135,1
20121714,1086572484,119,1
20927343,1130076450,140,1
20879166,1127474892,124,1
21673030,1170343524,145,1
21624854,1167742020,129,1
22457885,1212725694,150,1
22409709,1210124190,134,1
23240788,1255002456,155,1
23192611,1252400898,139,1
24010588,1296571656,160,1
23962411,1293970098,144,1
24762348,1337166696,166,1
24714172,1334565192,149,1
25530500,1378646904,171,1
25482324,1376045400,154,1
26276844,1418949480,176,1
26228668,1416347976,159,1
26998934,1457942340,181,1
26950758,1455340836,164,1
27794274,1500890676,186,1
27746097,1498289118,169,1
28486126,1538250684,191,1
28437950,1535649180,174,1
29246425,1579306830,196,1
29198249,1576705326,179,1
29992601,1619600334,201,1
29944424,1616998776,184,1
30627152,1653866088,206,1
30578976,1651264584,189,1
31415911,1696459074,211,1
31367735,1693857570,194,1
32070532,1731808608,216,1
32022355,1729207050,199,1
32788142,1770559536,221,1
32739966,1767958032,204,1
33518751,1810012410,226,1
33470574,1807410852,209,1
34201173,1846863198,231,1
34152997,1844261694,214,1
34938483,1886677938,236,1
34890306,1884076380,219,1
35702267,1927922274,241,1
35654091,1925320770,224,1
36487356,1970317080,246,1
36439180,1967715576,229,1
37235242,2010702924,251,1
37187065,2008101366,234,1
37980259,2050933830,256,1
37932082,2048332272,239,1
38720235,2090892534,261,1
38672058,2088290976,244,1
39477167,2131766850,266,1
39428990,2129165292,249,1
40219831,2171870706,271,1
40171655,2169269202,254,1
40995654,2213765148,276,1
40947477,2211163590,259,1
41740271,2253974466,281,1
41692094,2251372908,264,1
42192139,2278375338,286,1
42143963,2275773834,269,1
